year ,month,day,total_returns_received,processed,total_e_file,tax_pro,self_prepared,web_usage,total_refunds,total_refunds_amount_billions,total_refunds_average_refund,direct_deposit_refunds_number,direct_deposit_refunds _amount_billions,"direct_deposit_refunds_average
refund"
2025,4,11,"117,588,000","116,295,000","113,907,000","62,803,000","51,104,000","296,470,000","74,858,000",$228.68,"$3,055","71,121,000",$222.54,"$3,129"
2025,4,4,"101,422,000","100,324,000","98,184,000","53,392,000","44,792,000","275,948,000","67,745,000",$211.08,"$3,116","64,733,000",$206.26,"$3,186"
2025,3,28,"89,550,000","88,527,000","86,815,000","46,367,000","40,448,000","260,026,000","61,577,000",$195.19,"$3,170","59,144,000",$191.41,"$3,236"
2025,3,21,"79,616,000","78,675,000","77,266,000","40,120,000","37,146,000","244,432,000","55,716,000",$179.47,"$3,221","53,778,000",$176.59,"$3,284"
2025,3,14,"70,370,000","69,605,000","68,454,000","34,467,000","33,987,000","228,126,000","49,828,000",$162.99,"$3,271","48,324,000",$160.92,"$3,330"
2025,3,7,"61,429,000","60,789,000","59,872,000","29,004,000","30,868,000","210,850,000","43,647,000",$145.06,"$3,324","42,533,000",$143.71,"$3,379"
2025,2,28,"52,402,000","51,819,000","51,209,000","23,694,000","27,515,000","191,685,000","36,902,000",$124.80,"$3,382","36,130,000",$124.13,"$3,436"
2025,2,21,"42,707,000","42,396,000","41,896,000","18,335,000","23,561,000","167,087,000","29,615,000",$102.25,"$3,453","29,173,000",$102.24,"$3,505"
2025,2,14,"33,040,000","32,820,000","32,400,000","13,413,000","18,987,000","124,289,000","13,657,000",[1],"$2,169","13,515,000",[1],"$2,252"
2025,2,7,"23,589,000","23,515,000","23,134,000","8,700,000","14,434,000","93,763,000","8,054,000",[1],"$2,065","8,052,000",[1],"$2,165"
2025,1,31,"13,177,000","11,727,000","12,831,000","4,312,000","8,519,000","68,287,000","3,231,000",[1],"$1,928","3,285,000",[1],"$2,069"
2024,12,27,"163,473,000","163,515,000","151,781,000","85,642,000","66,140,000","958,545,000","104,866,000",$329.07,"$3,138","95,001,000",$301.20,"$3,170"
2024,10,18,"161,489,000","161,260,000","150,811,000","84,780,000","66,031,000","865,363,000","103,185,000",$309.93,"$3,004","93,506,000",$289.11,"$3,092"
2024,5,10,"144,018,000","141,317,000","137,394,000","73,531,000","63,864,000","623,409,000","93,940,000",$269.49,"$2,869","86,665,000",$256.56,"$2,960"
2024,5,3,"142,814,000","139,946,000","136,642,000","72,920,000","63,722,000","608,730,000","92,878,000",$265.98,"$2,864","85,844,000",$253.73,"$2,956"
2024,4,26,"141,363,000","138,356,000","135,724,000","72,201,000","63,523,000","591,742,000","91,359,000",$260.56,"$2,852","84,661,000",$249.31,"$2,945"
2024,4,19,"139,137,000","136,069,000","134,531,000","71,327,000","63,204,000","571,496,000","86,058,000",$245.23,"$2,850","80,028,000",$235.82,"$2,947"
2024,4,12,"119,592,000","118,114,000","115,734,000","63,318,000","52,416,000","533,981,000","74,685,000",$220.15,"$2,948","70,369,000",$213.29,"$3,031"
2024,4,5,"101,849,000","100,110,000","98,421,000","53,157,000","45,264,000","497,397,000","66,799,000",$201.12,"$3,011","63,445,000",$195.90,"$3,088"
2024,3,29,"90,315,000","88,800,000","87,369,000","46,302,000","41,068,000","467,978,000","60,858,000",$185.64,"$3,050","58,126,000",$181.61,"$3,124"
2024,3,22,"80,470,000","79,243,000","78,023,000","40,311,000","37,713,000","441,085,000","54,990,000",$169.41,"$3,081","52,795,000",$166.42,"$3,152"
2024,3,15,"71,587,000","70,569,000","69,543,000","34,880,000","34,664,000","411,961,000","49,145,000",$152.77,"$3,109","47,425,000",$150.67,"$3,177"
2024,3,8,"62,761,000","61,877,000","61,165,000","29,644,000","31,521,000","376,622,000","43,020,000",$135.28,"$3,145","41,719,000",$133.90,"$3,209"
2024,3,1,"54,030,000","53,231,000","52,795,000","24,516,000","28,279,000","337,328,000","36,288,000",$115.47,"$3,182","35,369,000",$114.74,"$3,244"
2024,2,23,"44,584,000","44,073,000","43,661,000","19,290,000","24,371,000","292,164,000","28,945,000",$92.99,"$3,213","28,374,000",$92.84,"$3,272"
2024,2,16,"34,743,000","34,546,000","34,071,000","14,138,000","19,933,000","231,436,000","20,883,000",$66.98,"$3,207","20,574,000",$67.18,"$3,265"
2024,2,9,"25,553,000","25,443,000","24,989,000","9,420,000","15,570,000","158,617,000","7,483,000",$13.03,"$1,741","7,417,000",$13.58,"$1,831"
2024,2,2,"15,318,000","13,928,000","14,909,000","4,874,000","10,035,000","104,788,000","2,616,000",$3.65,"$1,395","2,645,000",$4.08,"$1,543"
2023,12,29,"162,037,000","162,952,000","150,141,000","85,049,000","65,092,000","871,133,000","105,734,000",$334.86,"$3,167","96,592,000",$303.76,"$3,145"
2023,10,27,"160,494,000","161,157,000","149,504,000","84,455,000","65,049,000","788,747,000","104,658,000",$319.66,"$3,054","95,895,000",$296.21,"$3,089"
2023,10,20,"160,071,000","160,736,000","149,340,000","84,320,000","65,021,000","779,769,000","103,791,000",$308.99,"$2,977","95,326,000",$288.85,"$3,030"
2023,5,12,"142,577,000","140,224,000","134,911,000","72,651,000","62,260,000","536,829,000","94,884,000",$266.85,"$2,812","88,435,000",$253.89,"$2,871"
2023,5,5,"141,137,000","138,795,000","134,147,000","72,047,000","62,100,000","523,069,000","93,790,000",$262.89,"$2,803","88,380,000",$253.73,"$2,871"
2023,4,28,"139,375,000","136,909,000","133,229,000","71,347,000","61,883,000","507,207,000","91,800,000",$254.96,"$2,777","86,773,000",$247.21,"$2,849"
2023,4,21,"137,144,000","134,649,000","132,009,000","70,492,000","61,517,000","488,119,000","85,935,000",$236.62,"$2,753","81,799,000",$231.28,"$2,827"
